ache/ake;ached/oke;ached/aken
undergo;underwent;undergone
withgo;withwent;withgone
grave;grove/graved;graven/graved
grind;ground/grinded;ground/grinded
grow;grew;grown
outgrow;outgrew;outgrown
overgrow;overgrew;overgrown
regrow;regrew;regrown
undergrow;undergrew;undergrown
upgrow;upgrew;upgrown
hang;hung/hanged;hung/hanged
overhang;overhung/overhanged;overhung/overhanged
underhang;underhung/underhanged;underhung/underhanged
uphang;uphung/uphanged;uphung/uphanged
have;had;had
hear;heard;heard
behear;beheard;beheard
forehear;foreheard;foreheard
mishear;misheard;misheard
outhear;outheard;outheard
overhear;overheard;overheard
rehear;reheard;reheard
unhear;unheard;unheard
help;helped;helped
hew;hewed;hewed/hewn
underhew;underhewed;underhewed/underhewn
hide;hid;hidden
hit;hit;hit
mishit;mishit;mishit
overhit;overhit;overhit
underhit;underhit;underhit
hoist;hoisted/hoist;hoisted/hoist
hold;held;held
behold;beheld;beheld
inhold;inheld;inheld
mishold;misheld;misheld
uphold;upheld;upheld
withhold;withheld;withheld
hurt;hurt;hurt
keep;kept;kept
miskeep;miskept;miskept
overkeep;overkept;overkept
underkeep;underkept;underkept
ken;kenned/kent;kenned/kent
beken;bekenned/bekent;bekenned/bekent
foreken;forekenned/forekent;forekenned/forekent
misken;miskenned/miskent;miskenned/miskent
outken;outkenned/outkent;outkenned/outkent
kneel;knelt/kneeled;knelt/kneeled ''
knit;knit/knitted;knit/knitted
beknit;beknit/beknitted;beknit/beknitted
know;knew;known
acknow;acknew;acknown
foreknow;foreknew;foreknown
misknow;misknew;misknown
lade;laded;laden/laded
overlade;overladed;overladen/overladed
lay;laid;laid
belay;belaid;belaid
forelay;forelaid;forelaid
forlay;forlaid;forlaid
inlay;inlaid;inlaid
interlay;interlaid;interlaid
mislay;mislaid;mislaid
onlay;onlaid;onlaid
outlay;outlaid;outlaid
overlay;overlaid;overlaid
underlay;underlaid;underlaid
unlay;unlaid;unlaid
uplay;uplaid;uplaid
waylay;waylaid;waylaid
lead;led;led
belead;beled;beled
forthlead;forthled;forthled
inlead;inled;inled
mislead;misled;misled
offlead;offled;offled
onlead;onled;onled
outlead;outled;outled
overlead;overled;overled
underlead;underled;underled
uplead;upled;upled
lean;leaned/leant;leaned/leant
leap;leaped/leapt;leaped/leapt
beleap;beleaped/beleapt;beleaped/beleapt
forthleap;forthleaped/forthleapt;forthleaped/forthleapt
outleap;outleaped/outleapt;outleaped/outleapt
overleap;overleaped/overleapt;overleaped/overleapt
learn;learned/learnt;learned/learnt
mislearn;mislearned/mislearnt;mislearned/mislearnt
overlearn;overlearned/overlearnt;overlearned/overlearnt
relearn;relearned/relearnt;relearned/relearnt
unlearn;unlearned/unlearnt;unlearned/unlearnt
leave;left;left
beleave;beleft;beleft
forleave;forleft;forleft
overleave;overleft;overleft
lend;lent;lent
forlend;forlent;forlent
let;let;let
forlet;forlet;forlet
sublet;sublet;sublet
underlet;underlet;underlet
lie;lay;lain
forelie;forelay;forelain
forlie;forlay;forlain
overlie;overlay;overlain
underlie;underlay;underlain
light;lit/lighted;lit/lighted
alight;alit/alighted;alit/alighted
backlight;backlit/backlighted;backlit/backlighted
relight;relit/relighted;relit/relighted
lose;lost;lost
make;made;made
remake;remade;remade
unmake;unmade;unmade
may;might;
mean;meant;meant
meet;met;met
must;;
ought;;
pay;paid;paid
overpay;overpaid;overpaid
prepay;prepaid;prepaid
repay;repaid;repaid
underpay;underpaid;underpaid
plead;pled/pleaded;pled/pleaded
prove;proved;proved/proven
reprove;reproved;reproved/reproven
put;put;put
input;input;input
output;output;output
bequeath;bequeathed/bequethed/bequoth/bequod;bequeathed/bequethed/bequoth/bequethen
quit;quit/quitted;quit/quitted
read;read;read
foreread;foreread;foreread
lipread;lipread;lipread
misread;misread;misread
proofread;proofread;proofread
reread;reread;reread
reave;reaved/reft;reaved/reft
bereave;bereaved/bereft;bereaved/bereft
rend;rent;rent
rid;rid/ridded;rid/ridden/ridded
ride;rode;ridden
outride;outrode;outridden
override;overrode;overridden
ring;rang;rung
rise;rose;risen
arise;arose;arisen
uprise;uprose;uprisen
rive;rived/rove;rived/riven
run;ran;run
forerun;foreran;forerun
outrun;outran;outrun
overrun;overran;overrun
rerun;reran;rerun
underrun;underran;underrun
saw;sawed;sawed/sawn
say;said;said
forsay;forsaid;forsaid
gainsay;gainsaid;gainsaid
missay;missaid;missaid
naysay;naysaid;naysaid
soothsay;soothsaid;soothsaid
withsay;withsaid;withsaid
see;saw;seen
besee;besaw;beseen
foresee;foresaw;foreseen
missee;missaw;misseen
oversee;oversaw;overseen
sightsee;sightsaw;sightseen
undersee;undersaw;underseen
seek;sought;sought
beseek;besought;besought
sell;sold;sold
outsell;outsold;outsold
oversell;oversold;oversold
resell;resold;resold
undersell;undersold;undersold
upsell;upsold;upsold
send;sent;sent
missend;missent;missent
resend;resent;resent
set;set;set
beset;beset;beset
handset;handset;handset
inset;inset;inset
misset;misset;misset
offset;offset;offset
overset;overset;overset
preset;preset;preset
reset;reset;reset
upset;upset;upset
withset;withset;withset
sew;sewed;sewn/sewed
handsew;handsewed;handsewn/handsewed
oversew;oversewed;oversewn/oversewed
shake;shook;shaken
overshake;overshook;overshaken
shall;should;
shear;sheared/shore;shorn/sheared ''
shed;shed;shed
shine;shone/shined;shone/shined
beshine;beshone/beshined;beshone/beshined
outshine;beshone/beshined;beshone/beshined
overshine;beshone/beshined;beshone/beshined
shit;shit/shitted/shat;shit/shitted/shat
shite;shited/shit;shited/shit
shoe;shod/shoed;shodden/shod/shoed
reshoe;reshod/reshoed;reshodden/reshod/reshoed
shoot;shot;shot
misshoot;misshot;misshot
overshoot;overshot;overshot
reshoot;reshot;reshot
undershoot;undershot;undershot
show;showed;shown/showed
foreshow;foreshowed;foreshown/foreshowed
reshow;reshowed;reshown/reshowed
shrink;shrank/shrunk;shrunk/shrunken
overshrink;overshrank/overshrunk;overshrunk/overshrunken
shrive;shrived;shrived
shut;shut;shut
reshut;reshut;reshut
sing;sang;sung
resing;resang;resung
sink;sank/sunk;sunk/sunken
sit;sat;sat
babysit;babysat;babysat
housesit;housesat;housesat
resit;resat;resat
withsit;withsat;withsat
slay;slew/slayed;slain/slayed
sleep;slept;slept
oversleep;overslept;overslept
undersleep;underslept;underslept
slide;slid;slid/slidden
backslide;backslid;backslid/backslidden
overslide;overslid;overslid/overslidden
sling;slung;slung
slink;slunk/slinked/slank;slunk/slinked/slank
slip;slipped;slipped
slit;slit;slit/slitten
smell;smelled/smelt;smelled/smelt
smite;smote;smitten/smitted
sneak;sneaked/snuck;sneaked/snuck
sow;sowed;sown/sowed
speak;spoke;spoken
bespeak;bespoke;bespoken
forespeak;forespoke;forespoken
forspeak;forspoke;forspoken
misspeak;misspoke;misspoken
speed;sped/speeded;sped/speeded
spell;spelled/spelt;spelled/spelt
misspell;misspelled/misspelt;misspelled/misspelt
spend;spent;spent
misspend;misspent;misspent
outspend;outspent;outspent
overspend;overspent;overspent
spill;spilled/spilt;spilled/spilt
overspill;overspilled/overspilt;overspilled/overspilt
spin;spun;spun
outspin;outspun;outspun
spit;spat/spit;spat/spit
split;split;split
spoil;spoiled/spoilt;spoiled/spoilt
spread;spread;spread
bespread;bespread;bespread
forspread;forspread;forspread
outspread;outspread;outspread
overspread;overspread;overspread
underspread;underspread;underspread
spring;sprang/sprung;sprung
handspring;handsprang/handsprung;handsprung
stand;stood;stood
forstand;forstood;forstood
misunderstand;misunderstood;misunderstood
overstand;overstood;overstood
understand;understood;understood
upstand;upstood;upstood
withstand;withstood;withstood
starve;starved;starved
stave;stove/staved;stove/staved
steal;stole;stolen
stick;stuck;stuck
sting;stung;stung
stink;stank/stunk;stunk
strew;strewed;strewn/strewed
bestrew;bestrewed;bestrewn/bestrewed
overstrew;overstrewed;overstrewn/overstrewed
stride;strode;stridden
bestride;bestrode;bestridden
outstride;outstrode;outstridden
overstride;overstrode;overstridden
strike;struck;struck/stricken
overstrike;overstruck;overstruck/overstricken
string;strung;strung
hamstring;hamstrung;hamstrung
overstring;overstrung;overstrung
strip;stripped/stript;stripped/stript
strive;strove/strived;striven/strived
outstrive;outstrove;outstriven
overstrive;overstrove;overstriven
swear;swore;sworn
forswear;forswore;forsworn
outswear;outswore;outsworn
sweat;sweated/sweat;sweated/sweat
sweep;swept;swept
upsweep;upswept;upswept
swell;swelled;swollen/swelled
upswell;upswelled;upswollen/upswelled
swelt;swelted;swelted
swim;swam;swum
outswim;outswam;outswum
swing;swang/swung;swung
overswing;overswang/overswung;overswung
swink;swank/swonk/swinked;swunk/swunken/swonken/swinked
forswink;forswank/forswonk;forswunk/forswunken
toswink;toswank;toswunk/toswunken
take;took;taken
betake;betook;betaken
intake;intook;intaken
mistake;mistook;mistaken
overtake;overtook;overtaken
partake;partook;partaken
retake;retook;retaken
undertake;undertook;undertaken
uptake;uptook;uptaken
withtake;withtook;withtaken
teach;taught;taught
tear;tore;torn
uptear;uptore;uptorn
tee;teed/tow;teed/town
betee;beteed/betow;beteed/betown
fortee;forteed/fortow;forteed/fortown
tell;told;told
foretell;foretold;foretold
forthtell;forthtold;forthtold
mistell;mistold;mistold
outtell;outtold;outtold
retell;retold;retold
think;thought;thought
outthink;outthought;outthought
rethink;rethought;rethought
thrive;throve/thrived;thriven/thrived
throw;threw;thrown
misthrow;misthrew;misthrown
outthrow;outthrew;outthrown
overthrow;overthrew;overthrown
underthrow;underthrew;underthrown
upthrow;upthrew;upthrown
thrust;thrust;thrust
outthrust;outthrust;outthrust
tread;trod;trodden/trod
retread;retrod;retrodden/retrod
vex;vexed;vexed
wake;woke;woken
awake;awoke;awoken
wear;weared/wore;weared/worn
forwear;forweared/forwore;forweared/forworn
outwear;outweared/outwore;outweared/outworn
overwear;overweared/overwore;overweared/overworn
weave;wove;woven
interweave;interwove;interwoven
unweave;unwove;unwoven
wed;wed/wedded;wed/wedded
miswed;miswed/miswedded;miswed/miswedded
rewed;rewed/rewedded;rewed/rewedded
weep;wept/weeped;wept/weeped
beweep;bewept/beweeped;bewept/beweeped
wet;wet/wetted;wet/wetted
overwet;overwet/overwetted;overwet/overwetted
will;would;
win;won;won
wind;wound;wound
rewind;rewound;rewound
unwind;unwound;unwound
worth;worth/worthed;worth/worthed/worthen
wring;wrang/wrung;wrung
write;wrote;written
cowrite;cowrote;cowritten
ghostwrite;ghostwrote;ghostwritten
handwrite;handwrote;handwritten
miswrite;miswrote;miswritten
overwrite;overwrote;overwritten
rewrite;rewrote;rewritten
underwrite;underwrote;underwritten
zinc;zinced/zinked/zincked;zinced/zinked/zincked
